 x, y, z, pressure, velmag, vx, vy, vz
  1.9355,   0.5484,   0.0000,   0.4570,  1.37595,  1.37595, -0.00371,  0.00000
  1.9355,   0.5806,   0.0000,   0.4569,  1.36512,  1.36511, -0.00598,  0.00000
  1.9355,   0.6129,   0.0000,   0.4567,  1.34766,  1.34763, -0.00794,  0.00000
  1.9355,   0.6452,   0.0000,   0.4565,  1.32212,  1.32208, -0.00949,  0.00000
  1.9355,   0.6774,   0.0000,   0.4563,  1.28667,  1.28662, -0.01051,  0.00000
  1.9355,   0.7097,   0.0000,   0.4560,  1.23918,  1.23913, -0.01095,  0.00000
  1.9355,   0.7419,   0.0000,   0.4558,  1.17737,  1.17733, -0.01076,  0.00000
  1.9355,   0.7742,   0.0000,   0.4555,  1.09900,  1.09896, -0.00995,  0.00000
  1.9355,   0.8065,   0.0000,   0.4553,  1.00210,  1.00206, -0.00861,  0.00000
  1.9355,   0.8387,   0.0000,   0.4551,  0.88521,  0.88519, -0.00686,  0.00000
  1.9355,   0.8710,   0.0000,   0.4549,  0.74764,  0.74762, -0.00493,  0.00000
  1.9355,   0.9032,   0.0000,   0.4547,  0.58945,  0.58944, -0.00305,  0.00000
  1.9355,   0.9355,   0.0000,   0.4545,  0.41139,  0.41139, -0.00147,  0.00000
  1.9355,   0.9677,   0.0000,   0.4543,  0.21456,  0.21456, -0.00040,  0.00000
  1.9355,   1.0000,   0.0000,   0.4542,  0.00000,  0.00000,  0.00000,  0.00000
  2.2581,   0.0000,   0.0000,   0.4027,  0.00000,  0.00000,  0.00000,  0.00000
  2.2581,   0.0323,   0.0000,   0.4028,  0.20846,  0.20846,  0.00029,  0.00000
  2.2581,   0.0645,   0.0000,   0.4030,  0.40035,  0.40035,  0.00106,  0.00000
  2.2581,   0.0968,   0.0000,   0.4031,  0.57495,  0.57495,  0.00221,  0.00000
  2.2581,   0.1290,   0.0000,   0.4032,  0.73149,  0.73148,  0.00360,  0.00000
  2.2581,   0.1613,   0.0000,   0.4033,  0.86938,  0.86937,  0.00505,  0.00000
  2.2581,   0.1935,   0.0000,   0.4034,  0.98847,  0.98845,  0.00639,  0.00000
  2.2581,   0.2258,   0.0000,   0.4036,  1.08915,  1.08913,  0.00748,  0.00000
  2.2581,   0.2581,   0.0000,   0.4037,  1.17238,  1.17235,  0.00818,  0.00000
  2.2581,   0.2903,   0.0000,   0.4039,  1.23957,  1.23954,  0.00843,  0.00000
  2.2581,   0.3226,   0.0000,   0.4041,  1.29247,  1.29244,  0.00818,  0.00000
  2.2581,   0.3548,   0.0000,   0.4042,  1.33294,  1.33292,  0.00745,  0.00000
  2.2581,   0.3871,   0.0000,   0.4043,  1.36280,  1.36278,  0.00628,  0.00000
  2.2581,   0.4194,   0.0000,   0.4044,  1.38366,  1.38365,  0.00476,  0.00000
  2.2581,   0.4516,   0.0000,   0.4045,  1.39682,  1.39681,  0.00297,  0.00000
  2.2581,   0.4839,   0.0000,   0.4046,  1.40317,  1.40317,  0.00101,  0.00000
  2.2581,   0.5161,   0.0000,   0.4046,  1.40317,  1.40317, -0.00101,  0.00000
  2.2581,   0.5484,   0.0000,   0.4045,  1.39682,  1.39681, -0.00297,  0.00000
  2.2581,   0.5806,   0.0000,   0.4044,  1.38366,  1.38365, -0.00476,  0.00000
  2.2581,   0.6129,   0.0000,   0.4043,  1.36280,  1.36278, -0.00628,  0.00000
  2.2581,   0.6452,   0.0000,   0.4042,  1.33294,  1.33292, -0.00745,  0.00000
  2.2581,   0.6774,   0.0000,   0.4041,  1.29247,  1.29244, -0.00818,  0.00000
  2.2581,   0.7097,   0.0000,   0.4039,  1.23957,  1.23954, -0.00843,  0.00000
  2.2581,   0.7419,   0.0000,   0.4037,  1.17238,  1.17235, -0.00818,  0.00000
  2.2581,   0.7742,   0.0000,   0.4036,  1.08915,  1.08913, -0.00748,  0.00000
  2.2581,   0.8065,   0.0000,   0.4034,  0.98847,  0.98845, -0.00639,  0.00000
  2.2581,   0.8387,   0.0000,   0.4033,  0.86938,  0.86937, -0.00505,  0.00000
  2.2581,   0.8710,   0.0000,   0.4032,  0.73149,  0.73148, -0.00360,  0.00000
  2.2581,   0.9032,   0.0000,   0.4031,  0.57495,  0.57495, -0.00221,  0.00000
  2.2581,   0.9355,   0.0000,   0.4030,  0.40035,  0.40035, -0.00106,  0.00000
  2.2581,   0.9677,   0.0000,   0.4028,  0.20846,  0.20846, -0.00029,  0.00000
  2.2581,   1.0000,   0.0000,   0.4027,  0.00000,  0.00000,  0.00000,  0.00000
  2.5806,   0.0000,   0.0000,   0.3538,  0.00000,  0.00000,  0.00000,  0.00000
  2.5806,   0.0323,   0.0000,   0.3539,  0.20393,  0.20393,  0.00022,  0.00000
  2.5806,   0.0645,   0.0000,   0.3540,  0.39214,  0.39214,  0.00080,  0.00000
  2.5806,   0.0968,   0.0000,   0.3541,  0.56412,  0.56411,  0.00167,  0.00000
  2.5806,   0.1290,   0.0000,   0.3542,  0.71929,  0.71929,  0.00271,  0.00000
  2.5806,   0.1613,   0.0000,   0.3543,  0.85722,  0.85721,  0.00382,  0.00000
  2.5806,   0.1935,   0.0000,   0.3543,  0.97774,  0.97773,  0.00487,  0.00000
  2.5806,   0.2258,   0.0000,   0.3544,  1.08107,  1.08106,  0.00575,  0.00000
  2.5806,   0.2581,   0.0000,   0.3545,  1.16788,  1.16786,  0.00634,  0.00000
  2.5806,   0.2903,   0.0000,   0.3547,  1.23921,  1.23920,  0.00658,  0.00000
  2.5806,   0.3226,   0.0000,   0.3548,  1.29643,  1.29641,  0.00643,  0.00000
  2.5806,   0.3548,   0.0000,   0.3549,  1.34102,  1.34101,  0.00590,  0.00000
  2.5806,   0.3871,   0.0000,   0.3550,  1.37451,  1.37451,  0.00501,  0.00000
  2.5806,   0.4194,   0.0000,   0.3550,  1.39829,  1.39828,  0.00381,  0.00000
  2.5806,   0.4516,   0.0000,   0.3551,  1.41347,  1.41347,  0.00238,  0.00000
  2.5806,   0.4839,   0.0000,   0.3551,  1.42087,  1.42087,  0.00081,  0.00000
  2.5806,   0.5161,   0.0000,   0.3551,  1.42087,  1.42087, -0.00081,  0.00000
  2.5806,   0.5484,   0.0000,   0.3551,  1.41347,  1.41347, -0.00238,  0.00000
  2.5806,   0.5806,   0.0000,   0.3550,  1.39829,  1.39828, -0.00381,  0.00000
  2.5806,   0.6129,   0.0000,   0.3550,  1.37451,  1.37451, -0.00501,  0.00000
  2.5806,   0.6452,   0.0000,   0.3549,  1.34102,  1.34101, -0.00590,  0.00000
  2.5806,   0.6774,   0.0000,   0.3548,  1.29643,  1.29641, -0.00643,  0.00000
  2.5806,   0.7097,   0.0000,   0.3547,  1.23921,  1.23920, -0.00658,  0.00000
  2.5806,   0.7419,   0.0000,   0.3545,  1.16788,  1.16786, -0.00634,  0.00000
  2.5806,   0.7742,   0.0000,   0.3544,  1.08107,  1.08106, -0.00575,  0.00000
  2.5806,   0.8065,   0.0000,   0.3543,  0.97774,  0.97773, -0.00487,  0.00000
  2.5806,   0.8387,   0.0000,   0.3543,  0.85722,  0.85721, -0.00382,  0.00000
  2.5806,   0.8710,   0.0000,   0.3542,  0.71929,  0.71929, -0.00271,  0.00000
  2.5806,   0.9032,   0.0000,   0.3541,  0.56412,  0.56411, -0.00167,  0.00000
  2.5806,   0.9355,   0.0000,   0.3540,  0.39214,  0.39214, -0.00080,  0.00000
  2.5806,   0.9677,   0.0000,   0.3539,  0.20393,  0.20393, -0.00022,  0.00000
  2.5806,   1.0000,   0.0000,   0.3538,  0.00000,  0.00000,  0.00000,  0.00000
  2.9032,   0.0000,   0.0000,   0.3070,  0.00000,  0.00000,  0.00000,  0.00000
